point_id,ts,lon,lat,ph,vwc,n,soc,cec,clay,sand,ec,t,p,k,qc_flag,calib_level,source
1,2026-05-15T09:00:38,37.764,55.852,5.3,43.1,9.18,133.2,40.6,27.5,39.1,0.948,12.77,25.26,140.76,1,3,SoilGrids/ISRIC
2,2026-05-15T09:01:16,37.768667,55.852,5.3,43.6,9.17,131.2,41.3,27.5,37.7,0.97,14.14,19.65,140.57,1,3,SoilGrids/ISRIC
3,2026-05-15T09:01:54,37.773333,55.852,5.2,43.9,8.96,119.1,41.4,27.7,37.1,0.9919,15.65,20.45,138.82,1,3,SoilGrids/ISRIC
4,2026-05-15T09:03:10,37.782667,55.852,5.2,43.7,9.66,130.1,41.7,27.3,36.7,0.9709,16.62,25.27,145.21,1,3,SoilGrids/ISRIC
5,2026-05-15T09:03:48,37.787333,55.852,5.2,44.1,10.45,130.7,40.7,23.5,39.4,0.9343,17.46,25.27,123.11,1,3,SoilGrids/ISRIC
6,2026-05-15T09:04:26,37.792,55.852,5.3,44.0,10.04,126.2,39.8,24.2,38.4,0.9557,17.94,30.06,140.13,1,3,SoilGrids/ISRIC
7,2026-05-15T09:05:04,37.792,55.854667,5.3,43.9,8.94,154.2,39.7,22.4,38.2,0.9565,16.81,21.07,134.16,1,3,SoilGrids/ISRIC
8,2026-05-15T09:05:42,37.787333,55.854667,5.3,44.2,9.82,130.1,40.9,24.7,38.4,0.9451,17.41,15.35,135.04,1,3,SoilGrids/ISRIC
9,2026-05-15T09:06:20,37.782667,55.854667,5.3,43.7,10.38,101.6,42.3,26.7,34.3,0.9882,17.45,25.42,141.4,1,3,SoilGrids/ISRIC
10,2026-05-15T09:06:58,37.778,55.854667,5.2,44.2,9.76,121.0,42.8,31.1,34.4,0.8991,16.24,26.5,146.2,1,3,SoilGrids/ISRIC
11,2026-05-15T09:07:36,37.773333,55.854667,5.2,43.9,9.23,108.0,41.4,28.0,37.2,0.9666,15.9,22.97,143.8,1,3,SoilGrids/ISRIC
12,2026-05-15T09:08:52,37.764,55.854667,5.2,42.9,9.22,105.9,39.7,28.9,39.2,0.9071,14.61,26.89,147.61,1,3,SoilGrids/ISRIC
13,2026-05-15T09:09:30,37.764,55.857333,5.2,43.0,9.43,112.9,40.5,28.6,38.3,0.944,14.35,23.89,145.82,1,3,SoilGrids/ISRIC
14,2026-05-15T09:11:24,37.778,55.857333,5.2,43.4,9.7,113.8,42.6,27.1,34.6,0.9762,16.1,23.76,158.5,1,3,SoilGrids/ISRIC
15,2026-05-15T09:12:40,37.787333,55.857333,5.2,44.1,8.85,128.7,41.3,25.4,37.4,0.9161,17.18,22.74,134.63,1,3,SoilGrids/ISRIC
16,2026-05-15T09:13:18,37.792,55.857333,5.3,42.9,9.17,166.2,39.7,23.2,39.3,0.9419,16.77,26.59,141.96,1,3,SoilGrids/ISRIC
17,2026-05-15T09:13:56,37.792,55.86,5.2,43.1,9.22,139.1,40.4,24.0,38.1,0.9033,17.77,30.38,115.56,1,3,SoilGrids/ISRIC
18,2026-05-15T09:14:34,37.787333,55.86,5.2,43.5,9.08,131.3,40.9,26.1,39.2,0.9182,17.4,23.0,140.25,1,3,SoilGrids/ISRIC
19,2026-05-15T09:15:12,37.782667,55.86,5.2,43.9,9.66,132.5,43.0,26.5,34.0,0.9956,16.22,20.68,134.54,1,3,SoilGrids/ISRIC
20,2026-05-15T09:15:50,37.778,55.86,5.3,43.9,9.4,121.5,43.4,26.1,33.9,0.9166,16.37,14.58,155.84,1,3,SoilGrids/ISRIC
21,2026-05-15T09:16:28,37.773333,55.86,5.2,44.1,9.56,114.5,40.6,28.5,33.3,0.9531,15.55,24.31,152.09,1,3,SoilGrids/ISRIC
22,2026-05-15T09:17:44,37.764,55.86,5.2,43.8,9.37,101.7,40.5,30.1,34.7,0.9977,14.98,21.02,136.43,1,3,SoilGrids/ISRIC
23,2026-05-15T09:22:10,37.792,55.862667,5.3,43.3,9.87,160.7,41.5,21.2,35.3,0.9903,16.21,31.94,143.51,1,3,SoilGrids/ISRIC
24,2026-05-15T09:23:26,37.787333,55.865333,5.3,43.7,9.69,168.4,42.0,21.3,35.5,0.9689,15.64,28.78,138.82,1,3,SoilGrids/ISRIC
25,2026-05-15T09:24:04,37.782667,55.865333,5.3,43.7,10.18,157.4,43.1,22.9,35.8,0.9726,14.98,31.95,138.54,1,3,SoilGrids/ISRIC
26,2026-05-15T09:24:42,37.778,55.865333,5.3,44.0,10.35,122.2,43.5,25.3,34.5,0.9728,15.9,22.46,137.5,1,3,SoilGrids/ISRIC
27,2026-05-15T09:26:36,37.764,55.865333,5.3,43.8,11.59,146.3,40.1,24.8,34.2,1.0049,12.17,25.95,143.01,1,3,SoilGrids/ISRIC
28,2026-05-15T09:27:52,37.768667,55.868,5.3,43.4,9.88,143.4,40.5,26.8,33.8,0.9303,13.6,25.39,134.13,1,3,SoilGrids/ISRIC
29,2026-05-15T09:28:30,37.773333,55.868,5.3,43.6,10.52,145.4,41.9,24.6,34.1,0.9611,14.45,30.67,162.79,1,3,SoilGrids/ISRIC
30,2026-05-15T09:29:08,37.778,55.868,5.3,43.9,10.88,156.5,42.8,23.9,33.8,0.966,14.63,31.33,161.62,1,3,SoilGrids/ISRIC
31,2026-05-15T09:29:46,37.782667,55.868,5.4,44.3,10.3,146.9,42.3,23.6,34.6,1.0139,15.98,28.43,139.09,1,3,SoilGrids/ISRIC
32,2026-05-15T09:30:24,37.787333,55.868,5.3,44.9,10.35,129.1,41.6,21.2,35.3,0.9555,16.82,27.15,129.28,1,3,SoilGrids/ISRIC
